Disclaimer
"Usually, it is not a best practice, to ascertain whether or not a file is malicious from a hash value alone. Indeed when Trend Micro analyzes a suspicious file, different factors are being looked at - including the file itself, as well as its behavior."
"Since a file hash is only a fingerprint of sorts to help ascertain the integrity of a particular file, it alone is not enough to ascertain whether or not a file is malicious."
IOCs are mostly to be used to perform sweeping activities targeting devices/network segment that are suspected to be compromised. Those are indeed Indicators of Compromise and not all of those Indicators are malicious. Those might also be used to perform Threat Hunting activities.
"Moreover there exists different hashes that can serve as IOCs and that different from file hashes themselves. Those include imphash, Richhash, Metahash, ... For those ones, it is expected that no assessment can be shared in regards to corresponding file coverage via legacy detection components (pattern files)."
Thank you for your understanding.

[Files]
Original Hash,SHA1,SHA256,MD5,TM Detection (Smart Scan) [ThreatHub]
042CE9AB1AFE035E0924753F076FCB20DE0D1A1D,042ce9ab1afe035e0924753f076fcb20de0d1a1d,7d68da8aa78929bb467682ddb080e750ed07cd21b1ee7a9f38cf2810eeb9cb95,e4b7fdabef67a0550877e6439beb093d,Ransom.Win32.MEDUSA.SM
EE4575CF9818636781677D63236D3DC65652DEAB,ee4575cf9818636781677d63236d3dc65652deab,736de79e0a2d08156bae608b2a3e63336829d59d38d61907642149a566ebd270,47386ee20a6a94830ee4fa38b419a6f7,Ransom_MedusaLocker.R002C0DBK23
DB5E29C0729486BA3833426093652451C5FCA9B5,db5e29c0729486ba3833426093652451c5fca9b5,657c0cce98d6e73e53b4001eeea51ed91fdcf3d47a18712b6ba9c66d59677980,8cd11f34d817a99e4972641caf07951e,Ransom.Win32.MEDUSA.SM
0823D067541DE16325E5454A91B57262365A0705,0823d067541de16325e5454a91b57262365a0705,4d4df87cf8d8551d836f67fbde4337863bac3ff6b5cb324675054ea023b12ab6,84b88ac81e4872ff3bf15c72f431d101,Ransom.Win32.MEDUSA.SM
F9D57326FBD980F3D910CE1D73F6C0C2BDE140EB,f9d57326fbd980f3d910ce1d73f6c0c2bde140eb,,,Need sample for analysis
F1719B1CF427AFB31F91789E8FEF8CBD77C5A613,f1719b1cf427afb31f91789e8fef8cbd77c5a613,,,Need sample for analysis
94513265B2448EBD88F8AFC0CE77FD27A523F016,94513265b2448ebd88f8afc0ce77fd27a523f016,,,Need sample for analysis
B53CD1A65F9EDF6B53C1EB152B87E1B9A701D8F9,b53cd1a65f9edf6b53c1eb152b87e1b9a701d8f9,,,Need sample for analysis
C8A2A9668CC86C85536E762180DD9B032AF0686C,c8a2a9668cc86c85536e762180dd9b032af0686c,,,Need sample for analysis
8FCBF737766A473E2F033B9EE161FCF837228DA3,8fcbf737766a473e2f033b9ee161fcf837228da3,,,Need sample for analysis
B2D07DEEA8DA1BF44F5103A8858C7F7000309130,b2d07deea8da1bf44f5103a8858c7f7000309130,,,Need sample for analysis
94851BCC8F9C651BCDA0FF33D17356CB0B16CF12,94851bcc8f9c651bcda0ff33d17356cb0b16cf12,,,Need sample for analysis
0E8A3699CFAA236B73FD5AAB51649C296BC8F001,0e8a3699cfaa236b73fd5aab51649c296bc8f001,,,Need sample for analysis
4A3DC35D4853665D4D08F0C5220E650F28EB9C06,4a3dc35d4853665d4d08f0c5220e650f28eb9c06,,,Need sample for analysis
2DF841EACACAC598F13B08527E128E8EA58AF6EB,2df841eacacac598f13b08527e128e8ea58af6eb,,,Need sample for analysis
DD5BB0609B92163D8834A37A517885CE0B512938,dd5bb0609b92163d8834a37a517885ce0b512938,5c907b722c53a5be256dc5f96b755bc9e0b032cc30973a52d984d4174bace456,4c66950d791ff5d39d53ffcd0b52a64d,Trojan.Linux.ZYX.USELVLR22
6F391D282A37B770ABCEDD08C4C0E2156076CD8E,6f391d282a37b770abcedd08c4c0e2156076cd8e,f3b0da965a4050ab00fce727bb31e0f889a9c05d68d777a8068cfc15a71d3703,6f2f61783a4a59449db4ba37211fa331,Trojan.Linux.NUKESPED.0NA103DI23
720E6ABF3BEFB585164450325246FE9CB000268F,720e6abf3befb585164450325246fe9cb000268f,cbf4cfa2d3c3fb04fe349161e051a8cf9b6a29f8af0c3d93db953e5b5dc39c86,ce35c935dcc9d55b2c79945bac77dc8e,NO_DETECTION
676537B0F7707FEAE0130BBCBDC881F5B4EB3F03,676537b0f7707feae0130bbcbdc881f5b4eb3f03,,,Need sample for analysis
7637EE2925C88110FC15A77C120BF70DC66E84A7,7637ee2925c88110fc15a77c120bf70dc66e84a7,,,Need sample for analysis
8A030A03570134CEE4659B1B1F666F6F48C27FA5,8a030a03570134cee4659b1b1f666f6f48c27fa5,,,Need sample for analysis
8027C1D1AC0FD7D40EE850119C6D4501FBE75EAB,8027c1d1ac0fd7d40ee850119c6d4501fbe75eab,,,Need sample for analysis
7B6E6487B803BBE85D7466B89DA51A269FA4FC29,7b6e6487b803bbe85d7466b89da51a269fa4fc29,,,Need sample for analysis
28911B5EDD5235DB1119ACD2E09349320D665B88,28911b5edd5235db1119acd2e09349320d665b88,,,Need sample for analysis
BA17CBA48578E8FEBF2591F9157B37652108F89A,ba17cba48578e8febf2591f9157b37652108f89a,,,Need sample for analysis
73CE7C32AB8CE157B968EB49C4655F9D98926B71,73ce7c32ab8ce157b968eb49c4655f9d98926b71,,,Need sample for analysis
C7FD7A4D33469F33F1986F20B8D638E77E4D3768,c7fd7a4d33469f33f1986f20b8d638e77e4d3768,,,Need sample for analysis
A65FF070743B2BF15717E551B4BE4E788FB25C08,a65ff070743b2bf15717e551b4be4e788fb25c08,,,Need sample for analysis
C4E0241A4276CB15C95B52C673328DE8ABCF04B4,c4e0241a4276cb15c95b52c673328de8abcf04b4,,,Need sample for analysis
4B76040B0D4E2651F0C0A781C336DDEBF8B8C057,4b76040b0d4e2651f0c0a781c336ddebf8b8c057,,,Need sample for analysis
A84AB1F4A6860A3B01AA681E1F54C6CB181868E8,a84ab1f4a6860a3b01aa681e1f54c6cb181868e8,9483f5eb9133c353cef636ef9fcc29e2c7bf658881574211ee142c93c523efaf,7b2fa099d51fa3885766f6d60d768748,NO_DETECTION
79D0F30AAB90DA8290B8F15703CCF522F2464D7A,79d0f30aab90da8290b8f15703ccf522f2464d7a,,,Need sample for analysis
2DF9C309E08140E9E9AF624A6C40355819A91720,2df9c309e08140e9e9af624a6c40355819a91720,,,Need sample for analysis
70BC7B43E119060DCE54568A1BEB140DA565A482,70bc7b43e119060dce54568a1beb140da565a482,fa2c5fa2814d4db288bf8733edc4f1a78cd2c72cde90f42cf5b14162ac648042,490590bfdeeedf44b3ae306409bb0d03,NO_DETECTION
6EC0C1D6311656C76787297775A8D0CB0AA6C4C7,6ec0c1d6311656c76787297775a8d0cb0aa6c4c7,9117bd328e37be121fb497596a2d0619a0eaca44752a1854523b8af46a5b0ceb,da0085a97c38ead734885e5cced1847f,NO_DETECTION
9521128269EA6C49476301739257DDE9F0A2DBE6,9521128269ea6c49476301739257dde9f0a2dbe6,,,Need sample for analysis
59026092F2979569B81B0723CC13208DCB4BE6F9,59026092f2979569b81b0723cc13208dcb4be6f9,,,Need sample for analysis
4C75085D2D04F7EBDA1E459D68DC8A903FA6B459,4c75085d2d04f7ebda1e459d68dc8a903fa6b459,,,Need sample for analysis
EC238353F020243758EB7511DDDF8AB6BA01B35D,ec238353f020243758eb7511dddf8ab6ba01b35d,,,Need sample for analysis
C1FBE0FC31099B71315355DA25A7036EA51A8627,c1fbe0fc31099b71315355da25a7036ea51a8627,a2598161e1efff623de6128ad8aafba9da0300b6f86e8c951e616bd19f0a572b,929b12bc9f9e5f8e854de1d46ebf40d9,NO_DETECTION
8BBFED3F9F72AC2EEB96A9BBAAAB0ABCCCF2E0CA,8bbfed3f9f72ac2eeb96a9bbaaab0abcccf2e0ca,,,Need sample for analysis
E287F70804460043B12410F95B4FA400E1910F42,e287f70804460043b12410f95b4fa400e1910f42,6f0a38c9eb9171cd323b0f599b74ee571620bc3f34aa07435e7c5822663de605,46804472541ed61cc904cd14be18fe1d,NO_DETECTION
B871E9AFD7DA87EE818ED7349A1579F3B31E104F,b871e9afd7da87ee818ed7349a1579f3b31e104f,596b2a90c1590eaf704295a2d95aae5d2fec136e9613e059fd37de4b02fd03bb,b34883fb1630db43e06a38cebfa0bce2,TROJ_FRS.VSNTGM21
073C5147A38047ABAB24C3595DFDE476F000E045,073c5147a38047abab24c3595dfde476f000e045,ffb6acd2715dd988fe3c3fdbd7d45159f8e5b529eea506a856109a8696e93a80,e67687b4443f58d2b0a465e3af3caffe,TROJ_GEN.R002C0DEE22
32B47F9413B4FDE4183CE9CF431B6258E6AD73D2,32b47f9413b4fde4183ce9cf431b6258e6ad73d2,ac7b01e01de0dc289cd649aa5072243f2036bd8d2d0152b6d9874c2ccaaf1e5d,a65ee1a82975ee4c8d4e70219e1bfff5,NO_DETECTION
410FFAFAAE8A8FD2CBC74ED171A65AAF30409E4B,410ffafaae8a8fd2cbc74ed171a65aaf30409e4b,b65bcba449d74e4395421aeb4012c9e509acb5e8153ff3dc9f01fd97a5cc2711,a500561c0b374816972094c2aa90da2a,NO_DETECTION
6CAFD44C86FFF605B4C25582955B725B96C1D911,6cafd44c86fff605b4c25582955b725b96c1d911,1146b1f38e420936b7c5f6b22212f3aa93515f3738c861f499ed1047865549cb,85427a8a47c4162b48d8dfb37440665d,NO_DETECTION
1FB46FE153C8BBDAADE57C3B495E6BB495504C67,1fb46fe153c8bbdaade57c3b495e6bb495504c67,67560e05383e38b2fcc30df84f0792ad095d5594838087076b214d849cde9542,73fb0fe5cd96a14a4f85639223aec6a8,NO_DETECTION
BF942D1F48E63C5B2763442A746079BA5FDD59FE,bf942d1f48e63c5b2763442a746079ba5fdd59fe,,,Need sample for analysis
4C34D1CD875E39A8FA854EFF3B520CDC68275F9D,4c34d1cd875e39a8fa854eff3b520cdc68275f9d,2097320e71990865f04b9484858d279875cf5c66a5f6d12c819a34e2385da838,2e803d28809be2a0216f25126efde37b,Backdoor.ASP.WEBSHELL.LEQF
22C9DA04847C26188226C3A345E2126EF00AA19E,22c9da04847c26188226c3a345e2126ef00aa19e,8578bff36e3b02cc71495b647db88c67c3c5ca710b5a2bd539148550595d0330,3dd829fb27353622eff34be1eabb8f18,TROJ_GEN.R06CC0DFB23
EC7C073E7FEC3DA182AF66D0E22368DC15601530,ec7c073e7fec3da182af66d0e22368dc15601530,6f938caeefa0aea3b8301e07bf918a49408cd319187d05ac519b20a00f460469,07db3058e32fe5f36823dc7092cd7d5b,NO_DETECTION
B8421C8E54FA5DABCFD38DF68B3AC93B449D8D2D,b8421c8e54fa5dabcfd38df68b3ac93b449d8d2d,3875ed58c0d42e05c83843b32ed33d6ba5e94e18ffe8fb1bf34fd7dedf3f82a7,57c916da83cc634af22bde0ad44d0db3,NO_DETECTION
D2D6CDDB83B481993D67A85429E3A4AF0B466D09,d2d6cddb83b481993d67a85429e3a4af0b466d09,,,Need sample for analysis
0C6A22DC842C9757B197A8C1AFF6757486F97F46,0c6a22dc842c9757b197a8c1aff6757486f97f46,a375f98aa21377ed0c59b4c7121ac93763157e39d8235fb5ce77f88dee0e2ee4,fa1c6f7a5e02374b9d33de2578cb3399,NO_DETECTION
B4E60FEA91C014009A3714755FEF74D51D55628C,b4e60fea91c014009a3714755fef74d51d55628c,,,Need sample for analysis
9B29D3A718ACF5A8A3DD415AA540618D9D114A15,9b29d3a718acf5a8a3dd415aa540618d9d114a15,359d826ff025c5e4971d90be0d7dfebe10fc125f6dcaa2f0e9869e9f6bec4432,c8fa0ce3ae6a13af640607ea606c55f9,NO_DETECTION
15DB197D98B02D715C15955B0D58D8785EBC750F,15db197d98b02d715c15955b0d58d8785ebc750f,daa362f070ba121b9a2fa3567abc345edcde33c54cabefa71dd2faad78c10c33,c21eefc65cda49f17ddd1d243a7bffb5,NO_DETECTION
C0AFB5797E6873BBEE69F9BF0AA7A9DD3A1C6FFF,c0afb5797e6873bbee69f9bf0aa7a9dd3a1c6fff,e1ad173e49eee1194f2a55afa681cef7c3b8f6c26572f474dec7a42e9f0cdc9d,31f2369d2e38c78f5b3f2035dba07c08,NO_DETECTION
27F59C451FC3DE423BED1176833573435A73B9F7,27f59c451fc3de423bed1176833573435a73b9f7,,,Need sample for analysis
84713E84457767B0D4E06C689DB4F43D5739C7B4,84713e84457767b0d4e06c689db4f43d5739c7b4,,,Need sample for analysis
935880FD819DEC7B64969B250715F2EC05876B42,935880fd819dec7b64969b250715f2ec05876b42,,,Need sample for analysis
8A150FF56027634DD48FE3C9E3DAC6AB992AD052,8a150ff56027634dd48fe3c9e3dac6ab992ad052,71106875c37bf5b92ef25c7bc1d607ae349aa85bbb2e92a39165a8a8f8f6eb0e,f292e61774c267c3787fdfcace50ea7b,NO_DETECTION
8182FD937C090675EEF1345F95CA2B683361240C,8182fd937c090675eef1345f95ca2b683361240c,e416fc85dbeefdff0f172b406c2f1fcdb90a895fa99c4eb66bcbe5c159f07b82,bd6464f12bb6f7f02b6ffebb363d8e5f,NO_DETECTION
2EFD9C5A71DECF3787A1FAFEC7740D2B49B6250C,2efd9c5a71decf3787a1fafec7740d2b49b6250c,,,Need sample for analysis
9C58EC8F7CE75BA1B629C9EF84AB069A32313288,9c58ec8f7ce75ba1b629c9ef84ab069a32313288,7495c1ea421063845eb8f4599a1c17c105f700ca0671ca874c5aa5aef3764c1c,4abcf21b63781a53bbc1aa17bd8d2cbc,TROJ_GEN.R002C0RE823
398EE9DA244C53A136EFEE5E1D8ACD1298008497,398ee9da244c53a136efee5e1d8acd1298008497,a052413e65e025cbefdddff6eeae91161de17ffec16d3a741dd9b7c33d392435,4b2c78bb2c439998cff0cc097a14b942,NO_DETECTION
EB60FFB03E1DA380563E796B867FBDDEB1FAC77D,eb60ffb03e1da380563e796b867fbddeb1fac77d,269d7faed3a01b5ff9181df32e3fdbf7f7f193cc53e4f28aa21290343e69f3cd,57cd8e220465aa8030755d4009d0117c,NO_DETECTION
DBA1DCE5BFE4E0290BD378A0126492569BDABC39,dba1dce5bfe4e0290bd378a0126492569bdabc39,fe14edf4db2a9838f15aaf24a5837ffc5c901313d6fd2fe60d15401154e44406,d87ca3f830b8b53fde358bb64900f6af,NO_DETECTION
D85E72BA39E0057925F778AE2B12ECD1E245221E,d85e72ba39e0057925f778ae2b12ecd1e245221e,,,Need sample for analysis
7F7D144CC80129D0DB3159EA5D4294C34B79B20A,7f7d144cc80129d0db3159ea5d4294c34b79b20a,1485c0ed3e875cbdfc6786a5bd26d18ea9d31727deb8df290a1c00c780419a4e,a90236e4962620949b720f647a91f101,TROJ_GEN.R002C0XEP23
5BF6C62AE190F2826BCD0AF31E1A1FC86AE21A42,5bf6c62ae190f2826bcd0af31e1a1fc86ae21a42,ff51aa6cad655ddd99a525b78419cd746453fb2adcb689ba34ca3ab6e78b1347,efe8043e1b4214640c5f7b5ddf737653,NO_DETECTION
08D279DDB03DBF30C07ADF06727D79816550D08C,08d279ddb03dbf30c07adf06727d79816550d08c,7a1fee8d879bc16e63d05c79c5419bd19ee308c54831d7ee196cfa8281498a06,c90ec587e3333dabb647ebc182673460,NO_DETECTION
C89B9AE0F278F3FF6331FAA9162A94C27645CF0F,c89b9ae0f278f3ff6331faa9162a94c27645cf0f,,,Need sample for analysis
E5551C768BA25CF52044BCF4367FED1F2064F474,e5551c768ba25cf52044bcf4367fed1f2064f474,8fdd00243ba68cadd175af0cbaf860218e08f42e715a998d6183d7c7462a3b5b,69fd67c115349abb4a313230a1692642,Possible_SMGODZILLAZYKB-A
6802E2D2D4E6EE38AA513DAFD6840E864310513B,6802e2d2d4e6ee38aa513dafd6840e864310513b,f6c316e2385f2694d47e936b0ac4bc9b55e279d530dd5e805f0d963cb47c3c0d,4dd6250eb2d368f500949952eb013964,TROJ_GEN.R002C0WEF23
ED6F8317C4A2E6B99F6DC8D80D6DD17078854E9A,ed6f8317c4a2e6b99f6dc8d80d6dd17078854e9a,,,Need sample for analysis
2FD571C0E0F9BCC21F323F71DD0D73A499F38DF6,2fd571c0e0f9bcc21f323f71dd0d73a499f38df6,b66919a18322aa4ce2ad47d149b7fe38063cd3cfa2e4062cd1a01ad6b3e47651,d9719f6738dbfaa21be7f184512fe074,TROJ_GEN.R002C0WC121
7820E56FBCDE06FF766239E58C53610151962DEF,7820e56fbcde06ff766239e58c53610151962def,f4639c63fb01875946a4272c3515f005d558823311d0ee4c34896c2b66122596,126bc1c30fba27f8bf67dce4892b1e8c,Backdoor.ASP.WEBSHELL.AUJ
FA01D9BD5C2D96E31FDB26155C935E51C0A8245F,fa01d9bd5c2d96e31fdb26155c935e51c0a8245f,ce59bbe3ef7e16423718de50639d2278eab9c1f08f998677ba6fbd36695f316a,4029bc4a06638bb9ac4b8528523b72f6,TROJ_FRS.0NA103I622
32A1651BB810BBE58DF73BC2D2C2FA702CA7ABD0,32a1651bb810bbe58df73bc2d2c2fa702ca7abd0,,,Need sample for analysis
5C907B722C53A5BE256DC5F96B755BC9E0B032CC30973A52D984D4174BACE456,dd5bb0609b92163d8834a37a517885ce0b512938,5c907b722c53a5be256dc5f96b755bc9e0b032cc30973a52d984d4174bace456,4c66950d791ff5d39d53ffcd0b52a64d,Trojan.Linux.ZYX.USELVLR22
F3B0DA965A4050AB00FCE727BB31E0F889A9C05D68D777A8068CFC15A71D3703,6f391d282a37b770abcedd08c4c0e2156076cd8e,f3b0da965a4050ab00fce727bb31e0f889a9c05d68d777a8068cfc15a71d3703,6f2f61783a4a59449db4ba37211fa331,Trojan.Linux.NUKESPED.0NA103DI23
CBF4CFA2D3C3FB04FE349161E051A8CF9B6A29F8AF0C3D93DB953E5B5DC39C86,720e6abf3befb585164450325246fe9cb000268f,cbf4cfa2d3c3fb04fe349161e051a8cf9b6a29f8af0c3d93db953e5b5dc39c86,ce35c935dcc9d55b2c79945bac77dc8e,NO_DETECTION
BFD74B4A1B413FA785A49CA4A9C0594441A3E01983FC7F86125376FDBD4ACF6B,,bfd74b4a1b413fa785a49ca4a9c0594441a3e01983fc7f86125376fdbd4acf6b,,Need sample for analysis
BCE1EB513AAAC344B5B8F7A9BA9C9E36FC89926D327EE5CC095FB4A895A12F80,,bce1eb513aaac344b5b8f7a9ba9c9e36fc89926d327ee5cc095fb4a895a12f80,,Need sample for analysis
3C8DBFCBB4FCCBAF924F9A650A04CB4715F4A58D51EF49CC75BFCEF0AC258A3E,,3c8dbfcbb4fccbaf924f9a650a04cb4715f4a58d51ef49cc75bfcef0ac258a3e,,Need sample for analysis
0B5DB31E47B0DCCFDEC46E74C0E70C6A1684768DBACC9EACBB4FD2EF851994C7,,0b5db31e47b0dccfdec46e74c0e70c6a1684768dbacc9eacbb4fd2ef851994c7,,Need sample for analysis
973F7939EA03FD2C9663DAFC21BB968F56ED1B9A56B0284ACF73C3EE141C053C,,973f7939ea03fd2c9663dafc21bb968f56ed1b9a56b0284acf73c3ee141c053c,,Need sample for analysis
9948B75391069F635189C5C5E24C7FAFD88490901B204BCD4075F72ECE5EC265,,9948b75391069f635189c5c5e24c7fafd88490901b204bcd4075f72ece5ec265,,Need sample for analysis
49BBFAC69CA7633414172EC07E996D0DABD3F7811F134EECAFE89ACB8D55B93A,,49bbfac69ca7633414172ec07e996d0dabd3f7811f134eecafe89acb8d55b93a,,Need sample for analysis
D3EFFD483815A7DE1E1288AB6F4FB673B44A129386EF461466472E22140D47F8,,d3effd483815a7de1e1288ab6f4fb673b44a129386ef461466472e22140d47f8,,Need sample for analysis
43F86B6D3300050F8CC0FA83948FBC92FC69AF546F1F215313BAD2E2A040C0FA,,43f86b6d3300050f8cc0fa83948fbc92fc69af546f1f215313bad2e2a040c0fa,,Need sample for analysis
5F613732A09DA9523E6F00494190606BB8FD7E61AFD22D6BE4BE47265DD6D846,,5f613732a09da9523e6f00494190606bb8fd7e61afd22d6be4be47265dd6d846,,Need sample for analysis
0C28502C4A274420CD77301F2265B62B357769D1988B0A2DE2D5FBF507C9D408,,0c28502c4a274420cd77301f2265b62b357769d1988b0a2de2d5fbf507c9d408,,Need sample for analysis
00AA8BE18F5F3BFCFC826F18ABDFCA8420F207E2613C33F6FA45FF0E5DD968E7,,00aa8be18f5f3bfcfc826f18abdfca8420f207e2613c33f6fa45ff0e5dd968e7,,Need sample for analysis
467E49F1F795C1B08245AE621C59CDF06DF630FC1631DC0059DA9A032858A486,,467e49f1f795c1b08245ae621c59cdf06df630fc1631dc0059da9a032858a486,,Need sample for analysis
2D823C8B6076E932D696E8CB8A2C5C5DF6D392526CBA8E39B64C43635F683009,3b035da6c69f9b05868ffe55d7a267d098c6f290,2d823c8b6076e932d696e8cb8a2c5c5df6d392526cba8e39b64c43635f683009,ff1eff0e0f1f2eabe1199ae71194e560,NO_DETECTION
23DBFB99FC6C4FCFC279100C4B6481A7FD3F0B061B8D915604EFA2BA37C8DDFA,,23dbfb99fc6c4fcfc279100c4b6481a7fd3f0b061b8d915604efa2ba37c8ddfa,,Need sample for analysis
157BEA84012CA8B8DC6C0EABF80DB1F0256EAFCCF4047D3E4E90C50ED42E69FF,,157bea84012ca8b8dc6c0eabf80db1f0256eafccf4047d3e4e90c50ed42e69ff,,Need sample for analysis
CF5A7B7C71564A5EEF77CC5297B9FFD6CD021EB44C0901EA3957CB2397B43E15,,cf5a7b7c71564a5eef77cc5297b9ffd6cd021eb44c0901ea3957cb2397b43e15,,Need sample for analysis
9483F5EB9133C353CEF636EF9FCC29E2C7BF658881574211EE142C93C523EFAF,a84ab1f4a6860a3b01aa681e1f54c6cb181868e8,9483f5eb9133c353cef636ef9fcc29e2c7bf658881574211ee142c93c523efaf,7b2fa099d51fa3885766f6d60d768748,NO_DETECTION
